,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
,Fare Game,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,38,,,10,,,0,,,0,,,0,,,0,,48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-Feb-Izzo I,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,37,,,8,,,0,,,0,,,0,,,0,,45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-Feb-Izzo II,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Texas A&M,W,4,,L,0,,L,0,,L,0,,L,0,,L,0,,4,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Georgia,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
9,Oklahoma,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,21,,,11,,,0,,,0,,,0,,,0,,32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-Feb-Izzo III,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,McNeese,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
